"","location","date","cum_covid_deaths_per_100k","cum_excess_deaths_per_100k","iso_code","population","continent"
"65","Mauritius",2021-06-30,1.4135,-37.3637143207154,"MUS",1273428,"Africa"
"66","Mexico",2021-11-14,223.4639,467.980662390062,"MEX",130262220,"North America"
"67","Moldova",2021-09-30,168.4135,275.378507837302,"MDA",4024025,"Europe"
"68","Monaco",2021-11-30,91.0931,267.965587044534,"MCO",39520,"Europe"
"69","Mongolia",2021-11-30,60.2232,23.5155808369492,"MNG",3329282,"Asia"
"70","Montenegro",2021-05-23,250.6166,305.707657499152,"MNE",628051,"Europe"
"71","Netherlands",2021-12-19,119.6232,166.946620102353,"NLD",17173094,"Europe"
"72","New Zealand",2021-12-05,0.8589,-44.5476906258541,"NZL",5122600,"Oceania"
"73","Nicaragua",2020-08-31,2.0441,101.745962142696,"NIC",6702379,"North America"
"74","North Macedonia",2021-10-31,342.4465,607.021497977827,"MKD",2082661,"Europe"
"75","Norway",2021-12-19,22.0286,13.6013622585799,"NOR",5465629,"Europe"
"76","Oman",2021-11-30,78.7422,85.0331279999755,"OMN",5223376,"Asia"
"77","Palestine",2020-12-31,26.8058,22.9265927797508,"PSE",5222756,"Asia"
"78","Panama",2021-06-30,149.3752,161.101592734863,"PAN",4381583,"North America"
"79","Paraguay",2021-08-31,218.3904,273.742143134264,"PRY",7219641,"South America"
"80","Peru",2021-12-26,607.097,672.397882277012,"PER",33359415,"South America"
"81","Philippines",2021-07-31,25.1146,66.4193177459868,"PHL",111046910,"Asia"
"82","Poland",2021-12-12,234.09,384.169643093367,"POL",37797000,"Europe"
"83","Portugal",2021-12-19,184.6788,210.469729166911,"PRT",10167923,"Europe"
"84","Qatar",2021-11-30,20.8495,30.2096143897815,"QAT",2930524,"Asia"
"85","Romania",2021-10-31,249.6422,446.108412417296,"ROU",19127772,"Europe"
"86","Russia",2021-12-31,207.4339,715.37923036938,"RUS",145912022,"Europe"
"87","San Marino",2021-11-30,273.449,362.246398118201,"SMR",34010,"Europe"
